"","text","Source"
"28","दक्षिण फिल्मों के दस बड़े सुपरस्टार, जिनके एक्टिंग की कॉपी करते हेैं बॉलीवुड के स्टार http://www.haribhoomi.com/news/14413-ten-superstar-from-south-indian-film.html #haribhoomi #tollywood #southindustry #bollywood #shivaji #Mohanlal #chiranjeevi #pawankalyan #JUniorNtr #suriya﻿","G+"
"29","Pawan Kalyan Skips Again, http://www.cinesprint.com/tollywood/cine-buzz/1307-pawan-kalyan-skips-again.html﻿","G+"
"30","Allu Arjun Skipped GAV FunctionExcept Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event but at the same time never thought ...﻿","G+"
"31","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿","G+"
"32","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿","G+"
"33","CAMERAMAN GANGA THO RAMBABU MOVIE REVIEWMovie : Cameranman Ganga Tho Rambabu (Telugu) Cast : Pawan Kalyan, Tamannaah, Prakash Raj Music : Mani Sharma Cinematography : Shyam K. Naidu Editing : S. R. Shekhar Producer : D. V. V. Danayya Written : Puri Jagannath Screenplay : Puri Jagannath Director :...﻿","G+"
"34","ATHARINTIKI DAAREDI MOVIE REVIEWFilm : Atharintiki Daaredi(Telugu, 2013) Cast: Pawan Kalyan, Samantha, Praneetha, Boman Irani, Nadiya, Rao Ramesh, Kota Srinivasa Rao, Brahmanandam, Ali, Music: Devi Sri Prasad Art: Ravindar Fights: Peter heins Camera: Prasad Murella Editing: Praveen Pudi D...﻿","G+"
"35","CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM CAMERAMAN GANGATHO RAMBABU POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES   PAWAN KALYAN NEW FILM CAMERAMAN GANGATHO RAMBABU HD WALLPAPERS   CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERS PAWAN KALYAN AND TAMANNA NEW TELUGU FILM CAMERAMA...﻿","G+"
"36","ATTHARINTIKI DAREDHI MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM ATTHARINTIKI DAREDHI POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES FREE DOWNLOADS SAMANTHA NEW FILM ATTHARINTIKI DAREDHI HD &amp; HQ WALLPAPERS ATTHARINTIKI DAREDHI MOVIE WALLPAPERS PRANITHA NEW TELUGU FILM ATTHARINTIKI DAREDHI MOVIE WAL...﻿","G+"
"37","TOLLYWOOD : UPDATESPawan can come for GAV 150days function : Chiranjeevi Megastar Chiranjeevi had to face an interesting experience today during the audio launch of Ram Charan’s ‘Govindhudu Andhari Vadele’. As soon as Chiranjeevi started speaking, fans started chanting Pawan Kalyan’s name.Taking this in a sportive manner, Chiranjeevi said that Pawan Kalyan is everyone’s brother. He also said that Pawan Kalyan can be expected for the 150 days function of GAV. That was the confidence he had in the movie.Chiranjeevi also heaped praise on Krishna Vamsi and Bandla Ganesh and complimented them for doing a good job.#ytalkies #tollywood #updates #chiranjeevi #krishnavamsi #bandlaganesh #pawankalyan #govinduduandharivadele Govindudu Andarivadele Ram Charan Pawan Kalyan ツ Krishna Vamsi Bandla Ganesh(Pspk Fan) Megastar Chiranjeevi﻿","G+"
"38","Renu Desai Counter to Critics: I&#39;m not using Pawan Kalyan&#39;s NameMumbai: The actor-turned-filmmaker tells her critics that she made it on her own steam, without piggybacking on Pawan Kalyan’s name. Renu Desai, the actor turned filmmaker who is busy with the promotions of her Marathi film Ishq Wala Love, has taken to soci...﻿","G+"
"39","Pawan Kalyan can come for GAV 150days function: Chiranjeevi at Audio LaunchMegastar Chiranjeevi had to face an interesting experience today during the audio launch of Ram Charan’s ‘Govindhudu Andhari Vadele’. As soon as Chiranjeevi started speaking, fans started chanting Pawan Kalyan’s name. Taking this in a sportive manner, Chira...﻿","G+"
"40","Powerstar Pawan Kalyan Birthday Special: http://youtu.be/3ZWfz9JIP5g﻿","G+"
"41","Pawan Kalyan committed to memory by Chiranjeevi - read complete story click here.... http://goo.gl/a4I4ms﻿","G+"
"42","Renu Desai hits back at criticism on social platformRenu Desai, the actor turned filmmaker who is busy with the promotions of her Marathi film Ishq Wala Love, has taken to social media to respond to those who accused her of taking support of her ex-husband Pawan Kalyan’s name to become famous.   Renu, on her...﻿","G+"
"43","iam the follwer of power star pawan kalyan﻿","G+"
"44","Renu Desai’s Counter to CriticsAmidst growing criticism that she has been “using” her ex-husband Pawan Kalyan’s name for publicity, actress-turned-director Renu Desai has finally responded. Hitting back at her critics, Renu made it clear that she hardly took “support” of anyone for her d...﻿","G+"
"45","Wishing all the best to Cherry and #GAV team.﻿","G+"
"46","Pawan’s lady admonishes fans! http://goo.gl/RcXCHpAlthough ‪#‎PawanKalyan‬ and #Renu Desai have split in their marital life, this happened amicably and these days ‪#‎RenuDesai‬ mentioned him often during the publicity of her first Marathi film as producer, which has become a good hit.#Teluguone  ﻿","G+"
"47","Pawan’s lady admonishes fans! http://goo.gl/RcXCHpAlthough ‪#‎PawanKalyan‬ and #Renu Desai have split in their marital life, this happened amicably and these days ‪#‎RenuDesai‬ mentioned him often during the publicity of her first Marathi film as producer, which has become a good hit. #Teluguone  ﻿","G+"
"48","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿","G+"
"49","Model first, Pawan&#39;s wife later: Renu Desai http://goo.gl/dAZgEWRenu Desai.. ..The name needs no introduction. Ex-wife of Power star Pawan Kalyan. One of the latest trending topics of social media is that she is using her ex-husband’s name for the movie promotion. Recently she turned into a producer in Marathi film industry.﻿","G+"
"50","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿","G+"
"51","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿","G+"
"52","TOLLYWOOD : NEWSRenu Desai hits back at Critics :Actress-turned-Filmmaker Renu Desai came down heavily on her critics who have been accusing her of using Pawan Kalyan&#39;s popularity for her directorial debut &#39;Ishq Wala Love&#39; and also to become famous.Responding to the criticism, Renu Desai gave a fitting reply, &quot;This is for the extra smart people who think I am using Pawan Kalyan&#39;s name to get famous. I produced a hit film last year without any help or support from anyone, for which Kalyan garu is very proud of me. I have also been a famous model &amp; actress before. So please rest your over active brains and use that same energy for some social work... Have a happy fun filled Sunday everyone…&quot;.There is nothing wrong in Renu Desai mentioning her ex-husband Pawan Kalyan&#39;s name whenever she wishes to speak about him and critics needn&#39;t be too harsh in such matters. After all, they were very close once and maintain a cordial relationship even post break-up.#ytalkies #tollywood #updates #renudesai #pawanalyan Renu Desai Renu Desai Pawan Kalyan ツ﻿","G+"
"53","Will He Accept Pawan Remake?Pawan Kalyan’s industry hit ‘aththarintiki daaredi’ is a human and family emotions based film from director Trivikram Srinivas, produced by BVSN Prasad. The film has universally connecting sentiment and this one seems to have pulled BVSN Prasad’s son Bapine...﻿","G+"
"54","Pawan Kalyan the man of all seasons, Pawan Kalyan has not yet completed the alloted number of days for Gopala Gopala, Even Ravi Teja using Pawan Kalyan to the maximum. Pawan Kalyan references in Ravi Teja’s power? Ravi Teja’s Power hit theatres this…﻿","G+"
"55","Pawan Kalyan ex-wife hits back at criticismRead More :: http://ow.ly/BuTfs﻿","G+"
"56","Ram Charan Govindudu Andarivadele Audio Songs DownloadMega power star ram Charan Govindudu Andarivadele songs coming to listeners ears today. This is the prestigious project done by power star pawan kalyan power full fan Bandla Ganesh as a producer for this multi-starrer film under the parameswara arts product...﻿","G+"
"57","Pawan Kalyan’s help for producers?Pawan Kalyan’s help for producers? Power star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But .... read more  see more﻿","G+"
"58","Pawan Kalyan Heroine lost her Passport﻿","G+"
"59","#PawanismMovie latest Trailer https://vimeo.com/106144383 #PawanKalyan﻿","G+"
"60","TOLLYWOOD : UPDATE Loukyam will be as big as AD : Gopichand Power Star Pawan Kalyan’s ‘Atharintiki Daaredhi’ set the Box Office on fire last year and ended up as the highest grossing Telugu Movie of all time. The movie crossed the 80 Cr share mark worldwide!Now Gopichand says that his ‘Loukyam’ will end up as a similar blockbuster success. The actor made these comments at the audio function of the movie, which was held in Vijayawada yesterday. Those who were present were a bit taken aback by these words.Srivas is the director of ‘Loukyam’ and Bhavya Creations banner is producing the movie. Anoop Rubens composed the music for the film.#ytalkies #tollywood #pawankalyan #loukyam #anooprubens #Gopichand #bhavyaLoukyam Gopichand Anoop Rubens Rakul Preet Pawan Kalyan ツ Atharintiki Dharedhi﻿","G+"
"61","#PawanismMovie is releasing on 26th of this month.﻿","G+"
"62","PAWAN&#39;S SON IN DUBBING THEATER                                   POWER STAR PAWAN KALYAN&#39;SSON AKIRA NANDAN IS MAKING HIS FILM DEBUT AS A CHILDARTIST IN &#39;ISHQ WALA LOVE&#39;, DIRECTED ANDPRODUCED BY HER MOTHER, RENU DESAI . SHE POSTEDTHE ABOVE PIC IN HER TWITTER AND REVEALED THAT AKIRA W...﻿","G+"
"63","PAWAN&#39;S SON IN DUBBING THEATER                                   POWER STAR PAWAN KALYAN&#39;SSON AKIRA NANDAN IS MAKING HIS FILM DEBUT AS A CHILDARTIST IN &#39;ISHQ WALA LOVE&#39;, DIRECTED ANDPRODUCED BY HER MOTHER, RENU DESAI . SHE POSTEDTHE ABOVE PIC IN HER TWITTER AND REVEALED THAT AKIRA W...﻿","G+"
"64","Hai friends we r all sport pawankalyan﻿","G+"
"65","PAWAN KALYAN&#39;S SCREEN TIME INCRESED IN GOPALA GOPALA                                             THIS IS A DELIGHTFUL NEWS FOR POWER STAR PAWAN KALYAN&#39;S FANS, WHO WERE EARLIER DISAPPOINTEDHEARING PAWAN KALYAN&#39;S WOULD BE SEEN JUST FOR 20 MINUTES IN THE MOVIE . ACCORDING THE REPORTS PAWAN KALYAN&#39;S &#39;S ROLE HAS...﻿","G+"
