"Id","Weekly_Sales"
"10_11_2013-03-15",28612.14
"10_11_2013-03-22",27110.48
"10_11_2013-03-29",31104.25
"10_11_2013-04-05",33397.83
"10_11_2013-04-12",32921.58
"10_11_2013-04-19",31285.79
"10_11_2013-04-26",37614.41
"10_11_2013-05-03",35154.14
"10_11_2013-05-10",31535.47
"10_11_2013-05-17",32926.04
"10_11_2013-05-24",34430.76
"10_11_2013-05-31",29780.79
"10_11_2013-06-07",33010.66
"10_11_2013-06-14",33991.17
"10_11_2013-06-21",36196.72
"10_11_2013-06-28",42183.71
"10_11_2013-07-05",42402.85
"10_11_2013-07-12",34950.91
"10_11_2013-07-19",33576.7
"10_11_2013-07-26",30929.24
"10_1_2012-11-02",72875.71
"10_1_2012-11-09",43373.26
"10_1_2012-11-16",28797.05
"10_1_2012-11-23",34810.08
"10_1_2012-11-30",45195.51
"10_1_2012-12-07",61800.32
"10_1_2012-12-14",87158.15
"10_1_2012-12-21",117205.46
"10_1_2012-12-28",71225.83
"10_1_2013-01-04",33273.76
"10_1_2013-01-11",27994.94
"10_1_2013-01-18",29186.67
"10_1_2013-01-25",30448.82
"10_1_2013-02-01",33494.62
"10_1_2013-02-08",44080.01
"10_1_2013-02-15",64571.5
"10_1_2013-02-22",39926.27
"10_1_2013-03-01",28853.91
"10_1_2013-03-08",31755.92
"10_1_2013-03-15",33069.7
"10_1_2013-03-22",36462.94
"10_1_2013-03-29",43838.94
"10_1_2013-04-05",85693.99
"10_1_2013-04-12",90045.32
"10_1_2013-04-19",34348.98
"10_1_2013-04-26",24767.16
"10_1_2013-05-03",24920.8
"10_1_2013-05-10",26442.13
"10_1_2013-05-17",25816.53
"10_1_2013-05-24",25615.52
"10_1_2013-05-31",24234.03
"10_1_2013-06-07",23965.1
"10_1_2013-06-14",23754.74
"10_1_2013-06-21",23784.4
"10_1_2013-06-28",24327.28
"10_1_2013-07-05",24566.78
"10_1_2013-07-12",25320.52
"10_1_2013-07-19",26366.25
"10_1_2013-07-26",25909.96
"10_12_2012-11-02",8691.34
"10_12_2012-11-09",8203.11
"10_12_2012-11-16",7685.35
"10_12_2012-11-23",7542.39
"10_12_2012-11-30",7222.96
"10_12_2012-12-07",7197.75
"10_12_2012-12-14",6455.13
"10_12_2012-12-21",6479.6
"10_12_2012-12-28",5910.14
"10_12_2013-01-04",7040.77
"10_12_2013-01-11",7372.08
"10_12_2013-01-18",8328.58
"10_12_2013-01-25",8360.74
"10_12_2013-02-01",8280.32
"10_12_2013-02-08",8927.29
"10_12_2013-02-15",8702.57
"10_12_2013-02-22",9826.24
"10_12_2013-03-01",9388.35
"10_12_2013-03-08",8626.46
"10_12_2013-03-15",10521.24
"10_12_2013-03-22",9000.96
"10_12_2013-03-29",10471.9
"10_12_2013-04-05",8738.43
"10_12_2013-04-12",8956.34
"10_12_2013-04-19",10113.31
"10_12_2013-04-26",10019.93
"10_12_2013-05-03",9540.25
"10_12_2013-05-10",9188.45
"10_12_2013-05-17",9367.39
"10_12_2013-05-24",9561.33
"10_12_2013-05-31",10427.09
"10_12_2013-06-07",10402.97
"10_12_2013-06-14",10348.38
"10_12_2013-06-21",9522.09
"10_12_2013-06-28",10528.73
"10_12_2013-07-05",9912.45
"10_12_2013-07-12",8904.12
"10_12_2013-07-19",9714.98
"10_12_2013-07-26",9057.61
"10_13_2012-11-02",60534.21
"10_13_2012-11-09",61845.42
"10_13_2012-11-16",58207.33
"10_13_2012-11-23",52393.79
"10_13_2012-11-30",54662.83
"10_13_2012-12-07",55052.51
"10_13_2012-12-14",52759.72
"10_13_2012-12-21",53785.48
"10_13_2012-12-28",52466.96
"10_13_2013-01-04",59491.74
"10_13_2013-01-11",62040.68
"10_13_2013-01-18",58413.45
"10_13_2013-01-25",54162.58
"10_13_2013-02-01",57906.43
"10_13_2013-02-08",62441.94
"10_13_2013-02-15",61062.66
"10_13_2013-02-22",63684.72
"10_13_2013-03-01",63984.54
"10_13_2013-03-08",62725.41
"10_13_2013-03-15",61018.33
"10_13_2013-03-22",60956.65
"10_13_2013-03-29",58546.78
"10_13_2013-04-05",59851.89
"10_13_2013-04-12",60435.13
"10_13_2013-04-19",59556.95
"10_13_2013-04-26",58593.24
"10_13_2013-05-03",61376.41
"10_13_2013-05-10",58639.21
"10_13_2013-05-17",56384.07
"10_13_2013-05-24",58154.17
"10_13_2013-05-31",58816.72
"10_13_2013-06-07",61211.73
"10_13_2013-06-14",59729.74
"10_13_2013-06-21",55781.8
"10_13_2013-06-28",56875.78
"10_13_2013-07-05",61295.34
"10_13_2013-07-12",58415.27
"10_13_2013-07-19",58942.29
"10_13_2013-07-26",56894.66
"10_14_2012-11-02",35795.5
"10_14_2012-11-09",42461.88
"10_14_2012-11-16",43976.08
"10_14_2012-11-23",81335.1
"10_14_2012-11-30",45453.34
"10_14_2012-12-07",55952.47
"10_14_2012-12-14",63702.64
"10_14_2012-12-21",91347.69
"10_14_2012-12-28",65058.71
"10_14_2013-01-04",44130.4
"10_14_2013-01-11",40020.06
"10_14_2013-01-18",38131.26
"10_14_2013-01-25",35900.5
"10_14_2013-02-01",37132.04
"10_14_2013-02-08",42274.51
"10_14_2013-02-15",43720.23
"10_14_2013-02-22",44847.91
"10_14_2013-03-01",45226.44
"10_14_2013-03-08",43875.22
"10_14_2013-03-15",38572.26
"10_14_2013-03-22",40962.49
"10_14_2013-03-29",38103.16
"10_14_2013-04-05",41369.57
"10_14_2013-04-12",41699.44
"10_14_2013-04-19",37294.39
"10_14_2013-04-26",33025.76
"10_14_2013-05-03",35647.56
"10_14_2013-05-10",38119.2
"10_14_2013-05-17",37527.97
"10_14_2013-05-24",35085.23
"10_14_2013-05-31",34088.97
"10_14_2013-06-07",37045.23
"10_14_2013-06-14",35083.91
"10_14_2013-06-21",34307.16
"10_14_2013-06-28",34264.37
"10_14_2013-07-05",37784.13
"10_14_2013-07-12",35218.33
"10_14_2013-07-19",36960.21
"10_14_2013-07-26",38299.95
"10_16_2012-11-02",7758.11
"10_16_2012-11-09",7419.6
"10_16_2012-11-16",7095.71
"10_16_2012-11-23",8851.82
"10_16_2012-11-30",6502.95
"10_16_2012-12-07",6345.37
"10_16_2012-12-14",5960.01
"10_16_2012-12-21",7016.61
"10_16_2012-12-28",6780.36
"10_16_2013-01-04",8628.51
"10_16_2013-01-11",10618.21
"10_16_2013-01-18",14264.26
"10_16_2013-01-25",19373.54
"10_16_2013-02-01",23789.7
"10_16_2013-02-08",26897.14
"10_16_2013-02-15",28036.74
"10_16_2013-02-22",31012.16
"10_16_2013-03-01",32037.69
"10_16_2013-03-08",35121.54
"10_16_2013-03-15",39509.11
"10_16_2013-03-22",34053.95
"10_16_2013-03-29",40075.47
"10_16_2013-04-05",43437.9
"10_16_2013-04-12",43733.9
"10_16_2013-04-19",41143.39
"10_16_2013-04-26",43152.8
"10_16_2013-05-03",47217.92
"10_16_2013-05-10",46254.8
"10_16_2013-05-17",42713.54
"10_16_2013-05-24",44879.47
"10_16_2013-05-31",48327.24
"10_16_2013-06-07",43417.62
"10_16_2013-06-14",44332.88
"10_16_2013-06-21",42571.17
"10_16_2013-06-28",37233.29
"10_16_2013-07-05",39082.37
"10_16_2013-07-12",33054
"10_16_2013-07-19",31033.46
"10_16_2013-07-26",31883.45
"10_17_2012-11-02",23635.41
"10_17_2012-11-09",25884.36
"10_17_2012-11-16",26437.18
"10_17_2012-11-23",32449.78
"10_17_2012-11-30",27965.98
"10_17_2012-12-07",29675.24
"10_17_2012-12-14",32322.38
"10_17_2012-12-21",42849.47
"10_17_2012-12-28",33359.36
"10_17_2013-01-04",26710.98
"10_17_2013-01-11",26195.85
"10_17_2013-01-18",24620.57
"10_17_2013-01-25",21839.25
"10_17_2013-02-01",24923.85
"10_17_2013-02-08",31104.05
"10_17_2013-02-15",31310
"10_17_2013-02-22",32261.31
"10_17_2013-03-01",31418
"10_17_2013-03-08",30749.49
"10_17_2013-03-15",28680.51
"10_17_2013-03-22",26361.02
"10_17_2013-03-29",26626.24
"10_17_2013-04-05",25261.67
"10_17_2013-04-12",25857.43
"10_17_2013-04-19",25032.27
"10_17_2013-04-26",22771.22
"10_17_2013-05-03",26306.4
"10_17_2013-05-10",26169.23
"10_17_2013-05-17",27741.94
"10_17_2013-05-24",25638.78
"10_17_2013-05-31",24890.17
"10_17_2013-06-07",27180.03
"10_17_2013-06-14",25539.54
"10_17_2013-06-21",26034.02
"10_17_2013-06-28",23401.29
"10_17_2013-07-05",25949.02
"10_17_2013-07-12",26757.72
"10_17_2013-07-19",24851.44
"10_17_2013-07-26",25537.7
"10_18_2012-11-02",22505.13
"10_18_2012-11-09",19155.66
"10_18_2012-11-16",24875.47
"10_18_2012-11-23",52461.61
"10_18_2012-11-30",87287.19
"10_18_2012-12-07",96514.53
"10_18_2012-12-14",88874.76
"10_18_2012-12-21",70211.03
"10_18_2012-12-28",52119.04
"10_18_2013-01-04",20335.07
"10_18_2013-01-11",5004.7
"10_18_2013-01-18",3235.69
"10_18_2013-01-25",3049.69
"10_18_2013-02-01",4027.3
"10_18_2013-02-08",9657.73
"10_18_2013-02-15",20712.4
"10_18_2013-02-22",8245.01
"10_18_2013-03-01",1988.38
"10_18_2013-03-08",2139.86
"10_18_2013-03-15",2665.83
"10_18_2013-03-22",4214.96
"10_18_2013-03-29",7648.61
"10_18_2013-04-05",14057.25
"10_18_2013-04-12",16003.25
"10_18_2013-04-19",2640.34
"10_18_2013-05-03",2.75
"10_18_2013-05-17",-0.93
"10_18_2013-05-31",0
"10_18_2013-07-05",-9.46
"10_19_2012-11-02",3411.57
"10_19_2012-11-09",3250.46
"10_19_2012-11-16",3670.85
"10_19_2012-11-23",2690.77
"10_19_2012-11-30",3051.06
"10_19_2012-12-07",3606.53
"10_19_2012-12-14",3513.38
"10_19_2012-12-21",3424.43
"10_19_2012-12-28",2478.64
"10_19_2013-01-04",2242.99
"10_19_2013-01-11",2439.18
"10_19_2013-01-18",2707.73
"10_19_2013-01-25",2727.73
"10_19_2013-02-01",2835.53
"10_19_2013-02-08",2856.47
"10_19_2013-02-15",2630.54
"10_19_2013-02-22",3127.64
"10_19_2013-03-01",2927.28
"10_19_2013-03-08",2934.88
"10_19_2013-03-15",3053.42
"10_19_2013-03-22",3255.24
"10_19_2013-03-29",3589.01
"10_19_2013-04-05",3086.1
"10_19_2013-04-12",3089.54
"10_19_2013-04-19",2649.38
"10_19_2013-04-26",4322.97
"10_19_2013-05-03",3762.96
"10_19_2013-05-10",3308.95
"10_19_2013-05-17",2962.79
"10_19_2013-05-24",2949.05
"10_19_2013-05-31",3105.32
"10_19_2013-06-07",2773.98
"10_19_2013-06-14",2681.53
"10_19_2013-06-21",2249.74
"10_19_2013-06-28",1931.51
"10_19_2013-07-05",2079.82
"10_19_2013-07-12",3027.8
"10_19_2013-07-19",3844.72
"10_19_2013-07-26",2762.61
"10_20_2012-11-02",12701.92
"10_20_2012-11-09",13902.75
"10_20_2012-11-16",13616.28
"10_20_2012-11-23",19744.77
"10_20_2012-11-30",12389.31
"10_20_2012-12-07",12698.98
"10_20_2012-12-14",13649.37
"10_20_2012-12-21",16501.45
"10_20_2012-12-28",14620.62
"10_20_2013-01-04",13950.16
"10_20_2013-01-11",13604.75
"10_20_2013-01-18",13798.66
"10_20_2013-01-25",13009.02
"10_20_2013-02-01",13949.76
"10_20_2013-02-08",17354.46
"10_20_2013-02-15",16743.42
"10_20_2013-02-22",17232.86
"10_20_2013-03-01",19713.2
"10_20_2013-03-08",17745.34
"10_20_2013-03-15",16557.03
"10_20_2013-03-22",15086.25
"10_20_2013-03-29",13929.87
"10_20_2013-04-05",15695.78
"10_20_2013-04-12",15938.26
"10_20_2013-04-19",14608.01
"10_20_2013-04-26",14898.88
"10_20_2013-05-03",16278.38
"10_20_2013-05-10",15314.41
"10_20_2013-05-17",14555.64
"10_20_2013-05-24",16635.04
"10_20_2013-05-31",17057.45
"10_20_2013-06-07",17345.46
"10_20_2013-06-14",16570.95
"10_20_2013-06-21",14712.13
"10_20_2013-06-28",15380.89
"10_20_2013-07-05",17530.23
"10_20_2013-07-12",16146.34
"10_20_2013-07-19",14987.36
"10_20_2013-07-26",15796.07
"10_21_2012-11-02",8444.18
"10_21_2012-11-09",9402.75
"10_21_2012-11-16",9963.91
"10_21_2012-11-23",11027.6
"10_21_2012-11-30",8952.3
"10_21_2012-12-07",10754
"10_21_2012-12-14",12659.55
"10_21_2012-12-21",17598.12
"10_21_2012-12-28",11662.29
"10_21_2013-01-04",7569.41
"10_21_2013-01-11",7794.48
"10_21_2013-01-18",7432.69
"10_21_2013-01-25",6983.91
"10_21_2013-02-01",7590.71
"10_21_2013-02-08",8484.73
"10_21_2013-02-15",9201.18
"10_21_2013-02-22",8953.94
"10_21_2013-03-01",9159.68
"10_21_2013-03-08",10343.31
"10_21_2013-03-15",9445.96
"10_21_2013-03-22",9057.44
"10_21_2013-03-29",9595.97
"10_21_2013-04-05",10226.99
"10_21_2013-04-12",10429.85
"10_21_2013-04-19",8570.13
"10_21_2013-04-26",8686.41
"10_21_2013-05-03",9724.52
"10_21_2013-05-10",8615.91
"10_21_2013-05-17",8203.83
"10_21_2013-05-24",8501.61
"10_21_2013-05-31",8472.48
"10_21_2013-06-07",8288.11
"10_21_2013-06-14",9424.3
"10_21_2013-06-21",9141.34
"10_21_2013-06-28",8482.5
"10_21_2013-07-05",8392.79
"10_21_2013-07-12",8099.59
"10_21_2013-07-19",7890.03
"10_21_2013-07-26",8845.35
"10_2_2012-11-02",101506.97
"10_2_2012-11-09",102155.9
"10_2_2012-11-16",95978.8
"10_2_2012-11-23",92681.23
"10_2_2012-11-30",95408.59
"10_2_2012-12-07",101236.55
"10_2_2012-12-14",110214.25
"10_2_2012-12-21",135566.28
"10_2_2012-12-28",104934.87
"10_2_2013-01-04",95483.87
"10_2_2013-01-11",104029.88
"10_2_2013-01-18",100415.71
"10_2_2013-01-25",93062.69
"10_2_2013-02-01",101267.17
"10_2_2013-02-08",112570.3
"10_2_2013-02-15",111509
"10_2_2013-02-22",113429.04
"10_2_2013-03-01",108976.87
"10_2_2013-03-08",109930.55
"10_2_2013-03-15",106807.26
"10_2_2013-03-22",105278.09
"10_2_2013-03-29",101876.17
"10_2_2013-04-05",106134.25
"10_2_2013-04-12",107850.37
"10_2_2013-04-19",103974.58
"10_2_2013-04-26",98664.18
"10_2_2013-05-03",105168.94
"10_2_2013-05-10",99320.19
"10_2_2013-05-17",99853.67
"10_2_2013-05-24",105391.71
"10_2_2013-05-31",101617.43
"10_2_2013-06-07",106410.46
"10_2_2013-06-14",106577.92
"10_2_2013-06-21",101166.85
"10_2_2013-06-28",102864.18
"10_2_2013-07-05",107166.27
"10_2_2013-07-12",106508.71
"10_2_2013-07-19",105387.56
"10_2_2013-07-26",103532.17
"10_22_2012-11-02",23071.94
"10_22_2012-11-09",27563.95
"10_22_2012-11-16",26079.6
"10_22_2012-11-23",38492.38
"10_22_2012-11-30",27467.72
"10_22_2012-12-07",33879.13
"10_22_2012-12-14",35008.07
"10_22_2012-12-21",44519.81
"10_22_2012-12-28",32985.59
"10_22_2013-01-04",24860.78
"10_22_2013-01-11",24525.36
"10_22_2013-01-18",22284.72
"10_22_2013-01-25",22214.75
"10_22_2013-02-01",27754.79
"10_22_2013-02-08",36798.34
"10_22_2013-02-15",35859.86
"10_22_2013-02-22",34834.87
"10_22_2013-03-01",33131.48
"10_22_2013-03-08",29858.9
"10_22_2013-03-15",26157.33
"10_22_2013-03-22",27979.63
"10_22_2013-03-29",24233.89
"10_22_2013-04-05",23674.13
"10_22_2013-04-12",24205.56
"10_22_2013-04-19",22274.66
"10_22_2013-04-26",21822.37
"10_22_2013-05-03",23707.64
"10_22_2013-05-10",22019.81
"10_22_2013-05-17",22237.51
"10_22_2013-05-24",21656.65
"10_22_2013-05-31",21756.41
"10_22_2013-06-07",23024.51
"10_22_2013-06-14",22238.89
"10_22_2013-06-21",20270.53
"10_22_2013-06-28",22599.99
"10_22_2013-07-05",25115.05
"10_22_2013-07-12",24376.69
"10_22_2013-07-19",26691.62
"10_22_2013-07-26",24791.73
"10_23_2012-11-02",60136.72
"10_23_2012-11-09",77892.63
"10_23_2012-11-16",74545.23
"10_23_2012-11-23",99939.52
"10_23_2012-11-30",73396.08
"10_23_2012-12-07",93347.54
"10_23_2012-12-14",105192.66
"10_23_2012-12-21",147428.12
"10_23_2012-12-28",96605.95
"10_23_2013-01-04",54568.01
"10_23_2013-01-11",50520.29
"10_23_2013-01-18",50282.73
"10_23_2013-01-25",49393.44
"10_23_2013-02-01",51961.04
"10_23_2013-02-08",70148.58
"10_23_2013-02-15",70406.11
"10_23_2013-02-22",67879.36
"10_23_2013-03-01",65785.45
"10_23_2013-03-08",65438.45
"10_23_2013-03-15",65331.68
"10_23_2013-03-22",65132.46
"10_23_2013-03-29",63688.1
"10_23_2013-04-05",72550.91
"10_23_2013-04-12",73457.14
"10_23_2013-04-19",67216.2
"10_23_2013-04-26",65085.86
"10_23_2013-05-03",68773.58
"10_23_2013-05-10",64255.95
"10_23_2013-05-17",66030.44
"10_23_2013-05-24",68547.14
"10_23_2013-05-31",62026.72
"10_23_2013-06-07",68288.48
"10_23_2013-06-14",71861.86
"10_23_2013-06-21",69824.59
"10_23_2013-06-28",64255.54
"10_23_2013-07-05",65110.76
"10_23_2013-07-12",65127.1
"10_23_2013-07-19",72324.33
"10_23_2013-07-26",76361.6
"10_24_2012-11-02",14213.41
"10_24_2012-11-09",21653.38
"10_24_2012-11-16",19974.35
"10_24_2012-11-23",32180.32
"10_24_2012-11-30",18880.95
"10_24_2012-12-07",25621.82
"10_24_2012-12-14",28850.08
"10_24_2012-12-21",36201.09
"10_24_2012-12-28",19866.33
"10_24_2013-01-04",8566.49
"10_24_2013-01-11",8479.8
"10_24_2013-01-18",7669.58
"10_24_2013-01-25",8520.02
"10_24_2013-02-01",11003.73
"10_24_2013-02-08",14924.09
"10_24_2013-02-15",16919.31
"10_24_2013-02-22",15713.14
"10_24_2013-03-01",13145.71
"10_24_2013-03-08",12818.16
"10_24_2013-03-15",14237.12
"10_24_2013-03-22",12843
"10_24_2013-03-29",12813.21
"10_24_2013-04-05",16367.92
"10_24_2013-04-12",16506.22
"10_24_2013-04-19",12792.46
"10_24_2013-04-26",12215.28
"10_24_2013-05-03",13590.44
"10_24_2013-05-10",11731.94
"10_24_2013-05-17",11685.56
"10_24_2013-05-24",12026.87
"10_24_2013-05-31",10008.19
"10_24_2013-06-07",10519.8
"10_24_2013-06-14",10363.87
"10_24_2013-06-21",9620.33
"10_24_2013-06-28",9387.5
"10_24_2013-07-05",13070.2
"10_24_2013-07-12",17906.39
"10_24_2013-07-19",24082.47
"10_24_2013-07-26",28281.13
"10_25_2012-11-02",17999.16
"10_25_2012-11-09",22925.89
"10_25_2012-11-16",22238.34
"10_25_2012-11-23",25836.18
"10_25_2012-11-30",18835.81
"10_25_2012-12-07",23056.63
"10_25_2012-12-14",25973.46
"10_25_2012-12-21",32241.53
"10_25_2012-12-28",22949.23
"10_25_2013-01-04",15885.5
"10_25_2013-01-11",14897.15
"10_25_2013-01-18",14889.23
"10_25_2013-01-25",14671.1
"10_25_2013-02-01",16508.42
"10_25_2013-02-08",21566.81
"10_25_2013-02-15",21898.66
"10_25_2013-02-22",23643.94
"10_25_2013-03-01",22759.43
"10_25_2013-03-08",21731.21
"10_25_2013-03-15",22933.74
"10_25_2013-03-22",22789.1
"10_25_2013-03-29",21432.6
"10_25_2013-04-05",22881.84
"10_25_2013-04-12",23436.56
"10_25_2013-04-19",21018.57
"10_25_2013-04-26",21057.05
"10_25_2013-05-03",21026.11
"10_25_2013-05-10",20155.31
"10_25_2013-05-17",21129.31
"10_25_2013-05-24",24428.54
"10_25_2013-05-31",21675.37
"10_25_2013-06-07",20557.61
"10_25_2013-06-14",20456.41
"10_25_2013-06-21",20985.25
"10_25_2013-06-28",18025.7
"10_25_2013-07-05",18922.85
"10_25_2013-07-12",18277.69
"10_25_2013-07-19",20263.04
"10_25_2013-07-26",19566.86
"10_26_2012-11-02",19145.47
"10_26_2012-11-09",28024.67
"10_26_2012-11-16",26669.96
"10_26_2012-11-23",29189.52
"10_26_2012-11-30",19348.96
"10_26_2012-12-07",22986.31
"10_26_2012-12-14",24012.12
"10_26_2012-12-21",29744.43
"10_26_2012-12-28",16405.08
"10_26_2013-01-04",9524.7
"10_26_2013-01-11",10737.65
"10_26_2013-01-18",11525.68
"10_26_2013-01-25",11922.99
"10_26_2013-02-01",15855.3
"10_26_2013-02-08",21265.9
"10_26_2013-02-15",20107.83
"10_26_2013-02-22",19229.26
"10_26_2013-03-01",18213.84
"10_26_2013-03-08",16554.2
"10_26_2013-03-15",17292.78
"10_26_2013-03-22",16484.8
"10_26_2013-03-29",17247.29
"10_26_2013-04-05",17147.67
"10_26_2013-04-12",17972.16
"10_26_2013-04-19",15276.26
"10_26_2013-04-26",15699.07
"10_26_2013-05-03",15164.77
"10_26_2013-05-10",13658.81
"10_26_2013-05-17",13711.41
"10_26_2013-05-24",13942.42
"10_26_2013-05-31",12904.9
"10_26_2013-06-07",13045.02
"10_26_2013-06-14",12136.66
"10_26_2013-06-21",11498.58
"10_26_2013-06-28",12300.71
"10_26_2013-07-05",13867.05
"10_26_2013-07-12",12956.69
"10_26_2013-07-19",14584.02
"10_26_2013-07-26",12730.34
"10_27_2012-11-02",3979.37
"10_27_2012-11-09",5625.89
"10_27_2012-11-16",5876.48
"10_27_2012-11-23",6918.35
"10_27_2012-11-30",5861.35
"10_27_2012-12-07",7177.53
"10_27_2012-12-14",8837.3
"10_27_2012-12-21",11910.65
"10_27_2012-12-28",7592.23
"10_27_2013-01-04",4519
"10_27_2013-01-11",4465.4
"10_27_2013-01-18",4868.92
"10_27_2013-01-25",4588.23
"10_27_2013-02-01",4780.64
"10_27_2013-02-08",5966.36
"10_27_2013-02-15",5768.09
"10_27_2013-02-22",5066.49
"10_27_2013-03-01",4442.02
"10_27_2013-03-08",4613.74
"10_27_2013-03-15",4688.19
"10_27_2013-03-22",4396.08
"10_27_2013-03-29",3882.26
"10_27_2013-04-05",4164.67
"10_27_2013-04-12",4180.08
"10_27_2013-04-19",3831.95
"10_27_2013-04-26",3343.45
"10_27_2013-05-03",3599.77
"10_27_2013-05-10",3188.62
"10_27_2013-05-17",3211.17
"10_27_2013-05-24",3646.77
"10_27_2013-05-31",3137.82
"10_27_2013-06-07",3313.7
"10_27_2013-06-14",3221.77
"10_27_2013-06-21",3064.05
"10_27_2013-06-28",3084.6
"10_27_2013-07-05",3289.52
"10_27_2013-07-12",3583.23
"10_27_2013-07-19",3813.26
"10_27_2013-07-26",4898.93
"10_28_2012-11-02",1612.64
"10_28_2012-11-09",1899.44
"10_28_2012-11-16",1920.45
"10_28_2012-11-23",1838.38
"10_28_2012-11-30",1592.77
"10_28_2012-12-07",2073.4
"10_28_2012-12-14",2217.12
"10_28_2012-12-21",2557.12
"10_28_2012-12-28",2209.38
"10_28_2013-01-04",1602.84
"10_28_2013-01-11",1530.11
"10_28_2013-01-18",1448.06
"10_28_2013-01-25",1377.14
"10_28_2013-02-01",1411.49
"10_28_2013-02-08",1540.33
"10_28_2013-02-15",1623.95
"10_28_2013-02-22",1492.16
"10_28_2013-03-01",1423.01
"10_28_2013-03-08",1452.47
"10_28_2013-03-15",1268.93
"10_28_2013-03-22",1305.41
"10_28_2013-03-29",1172.61
"10_28_2013-04-05",1344.19
"10_28_2013-04-12",1330.35
"10_28_2013-04-19",1064.33
"10_28_2013-04-26",950.61
"10_28_2013-05-03",857.6
"10_28_2013-05-10",847.91
"10_28_2013-05-17",862.46
"10_28_2013-05-24",866.77
"10_28_2013-05-31",703.84
"10_28_2013-06-07",812.32
"10_28_2013-06-14",733.34
"10_28_2013-06-21",763.85
"10_28_2013-06-28",648.17
"10_28_2013-07-05",826.32
"10_28_2013-07-12",734.04
"10_28_2013-07-19",693.95
"10_28_2013-07-26",683.41
"10_29_2012-11-02",14355.2
"10_29_2012-11-09",17958.32
"10_29_2012-11-16",17266.16
"10_29_2012-11-23",23004.98
"10_29_2012-11-30",18132.4
"10_29_2012-12-07",22030.78
"10_29_2012-12-14",23508.34
"10_29_2012-12-21",31423.87
"10_29_2012-12-28",22234.6
"10_29_2013-01-04",14371.8
"10_29_2013-01-11",13460.64
"10_29_2013-01-18",13696.43
"10_29_2013-01-25",12937.51
"10_29_2013-02-01",15048.24
"10_29_2013-02-08",19083.81
"10_29_2013-02-15",19259.41
"10_29_2013-02-22",18400.74
"10_29_2013-03-01",16378.1
"10_29_2013-03-08",14621.76
"10_29_2013-03-15",14581.05
"10_29_2013-03-22",13734.64
"10_29_2013-03-29",14699.32
"10_29_2013-04-05",15918.54
"10_29_2013-04-12",16397.26
"10_29_2013-04-19",14880.37
"10_29_2013-04-26",15369.72
"10_29_2013-05-03",16224.32
"10_29_2013-05-10",15350.16
"10_29_2013-05-17",16144.4
"10_29_2013-05-24",14309.4
"10_29_2013-05-31",13849.42
"10_29_2013-06-07",14777.27
"10_29_2013-06-14",14209.64
"10_29_2013-06-21",14395.84
"10_29_2013-06-28",15153
"10_29_2013-07-05",15269.71
"10_29_2013-07-12",17210.48
"10_29_2013-07-19",17620.75
"10_29_2013-07-26",18950.56
"10_30_2012-11-02",8597.38
"10_30_2012-11-09",8438.25
"10_30_2012-11-16",7583.73
"10_30_2012-11-23",9811.73
"10_30_2012-11-30",8541.55
"10_30_2012-12-07",8945.53
"10_30_2012-12-14",8958.81
"10_30_2012-12-21",11519.37
"10_30_2012-12-28",9806.39
"10_30_2013-01-04",8102.22
"10_30_2013-01-11",7746.91
"10_30_2013-01-18",8182.56
"10_30_2013-01-25",7365.88
"10_30_2013-02-01",9026.46
